WW,BuildComment,StreamName,TestSessionFirstRunTPT,TestSessionTotalTPT,TaskFirstRunMachineHours,TaskReRunMachineHours,TSDuration,QBBuildDuration,TotalDuration
29,manual-main-128832,Media-CP-BXT-PreETM,03:37:19,03:37:20,239:59:13,2:35:14,143:33:41,01:13:30,44:47:11
29,manual-main-128832,Media-CP-BXT-PreETM,03:37:19,03:37:20,239:59:13,37:05:39,143:33:41,01:13:30,44:47:11
29,manual-main-128832,Media-CP-BXT-PreETM,03:37:19,03:37:20,239:59:13,55:56:16,143:33:41,01:13:30,44:47:11
29,manual-main-128832,Media-Decode-BXT-PreETM,07:47:53,52:52:20,231:59:06,2:35:14,143:33:41,01:13:30,44:47:11
29,manual-main-128832,Media-Decode-BXT-PreETM,07:47:53,52:52:20,231:59:06,37:05:39,143:33:41,01:13:30,44:47:11
29,manual-main-128832,Media-Decode-BXT-PreETM,07:47:53,52:52:20,231:59:06,55:56:16,143:33:41,01:13:30,44:47:11
29,manual-main-128830,Media-CP-BXT-PreETM,00:48:53,00:48:53,383:58:54,"",5:54:20,01:13:14,07:07:34
29,manual-main-128830,Media-VP-BXT-PreETM,05:54:20,05:54:20,89:18:02,"",5:54:20,01:13:14,07:07:34
29,manual-main-128777,Media-VP-BXT-PreETM,08:13:10,08:13:10,56:16:19,"",8:13:10,01:16:17,09:29:27
29,manual-main-128777,Media-CP-BXT-PreETM,03:33:07,03:33:07,288:29:04,"",8:13:10,01:16:17,09:29:27
29,manual-main-128757,Media-VP-BXT-PreETM,07:51:20,17:46:52,55:35:37,4:03:27,17:46:52,01:40:09,19:27:01
29,manual-main-128747,Media-VP-BXT-PreETM,17:10:39,26:59:41,65:13:25,4:07:26,26:59:41,01:18:57,28:18:38
29,manual-main-128747,Media-CP-BXT-PreETM,04:04:33,04:04:33,191:59:21,4:07:26,26:59:41,01:18:57,28:18:38
29,manual-main-128744,Media-CP-BXT-PreETM,05:02:04,05:02:04,240:59:09,"",5:02:04,01:19:15,06:21:19
29,manual-main-128675,Media-Encode-BXT-PreETM,13:00:10,30:31:00,45:59:37,15:22:21,30:31:00,01:14:12,31:45:12
29,manual-main-128675,Media-Encode-BXT-PreETM,13:00:10,30:31:00,45:59:37,2:43:04,30:31:00,01:14:12,31:45:12
29,manual-main-128675,Media-Encode-Pre-ETM-BXT-Android,15:43:03,15:43:04,17:20:45,15:22:21,30:31:00,01:14:12,31:45:12
